Order_ID,Product_ID,Product_Name,Customer,Order_Date,Due_Date,Manufacturing_Order,Transfer_Ticket,Operation,Work_Center,Production_Priority,Quantity,Completed_Qty,Pending_Qty,Production_Status,Production_Control,Forecast_Qty,Actual_Qty,Forecast_Error
ORD0001,P001,Storage Rack,Apple,2026-01-20,2026-02-04,MO0001,TT0001,Cutting,Line B,Low,244,216,28,In Progress,John,189,84,-105
ORD0002,P002,Computer Desk,Tesla,2026-03-14,2026-03-31,MO0002,TT0002,Assembly,Line C,Medium,329,197,132,Delayed,Michael,113,136,23
ORD0003,P003,Storage Rack,Dell,2025-07-08,2025-07-17,MO0003,TT0003,Assembly,Line C,Low,365,95,270,In Progress,Sophia,380,137,-243
ORD0004,P004,Office Chair,Dell,2026-05-27,2026-06-03,MO0004,TT0004,Quality Control,Line C,Medium,134,19,115,Delayed,David,306,163,-143
ORD0005,P005,Office Chair,HP,2026-04-02,2026-04-06,MO0005,TT0005,Assembly,Line A,High,495,311,184,Delayed,David,260,229,-31
ORD0006,P006,Workbench,Target,2026-02-26,2026-03-13,MO0006,TT0006,Cutting,Line B,Medium,290,185,105,Completed,Emily,346,73,-273
ORD0007,P007,Locker,Costco,2026-01-09,2026-01-13,MO0007,TT0007,Welding,Line C,High,469,91,378,Delayed,Michael,342,352,10
ORD0008,P008,Wooden Table,Samsung,2026-05-10,2026-05-29,MO0008,TT0008,Painting,Line A,Low,201,160,41,Completed,Emily,119,461,342
ORD0009,P009,Locker,Costco,2026-02-11,2026-02-17,MO0009,TT0009,Welding,Line C,High,151,37,114,Completed,Michael,464,360,-104
ORD0010,P010,Metal Shelf,Apple,2025-12-22,2025-12-25,MO0010,TT0010,Assembly,Line B,Medium,486,440,46,In Progress,Emily,264,482,218
ORD0011,P011,Filing Cabinet,Tesla,2026-02-21,2026-03-07,MO0011,TT0011,Painting,Line C,Medium,368,153,215,In Progress,Sophia,337,478,141
ORD0012,P012,Filing Cabinet,Costco,2026-04-08,2026-04-13,MO0012,TT0012,Cutting,Line B,Low,471,342,129,In Progress,Michael,154,442,288
ORD0013,P013,Locker,Best Buy,2026-03-13,2026-03-20,MO0013,TT0013,Quality Control,Line A,Low,65,5,60,Delayed,David,218,197,-21
ORD0014,P014,Locker,Dell,2026-06-21,2026-06-26,MO0014,TT0014,Cutting,Line C,Low,331,41,290,Delayed,Sophia,201,227,26
ORD0015,P015,Storage Rack,Costco,2025-12-13,2025-12-31,MO0015,TT0015,Cutting,Line A,High,295,143,152,In Progress,Sophia,446,304,-142
ORD0016,P016,Locker,Target,2026-02-25,2026-02-28,MO0016,TT0016,Painting,Line C,High,97,52,45,Delayed,Sophia,320,133,-187
ORD0017,P017,Workbench,Apple,2026-03-01,2026-03-07,MO0017,TT0017,Painting,Line D,Medium,444,54,390,Completed,David,143,176,33
ORD0018,P018,Wooden Table,Best Buy,2025-12-23,2026-01-06,MO0018,TT0018,Painting,Line A,Medium,438,351,87,Delayed,David,234,404,170
ORD0019,P019,Tool Box,Amazon,2025-11-27,2025-12-06,MO0019,TT0019,Welding,Line A,Low,297,243,54,In Progress,David,230,101,-129
ORD0020,P020,Workbench,Best Buy,2025-08-12,2025-08-28,MO0020,TT0020,Quality Control,Line C,Medium,352,49,303,Delayed,David,136,201,65
ORD0021,P021,Computer Desk,Apple,2026-01-24,2026-02-05,MO0021,TT0021,Painting,Line A,Low,454,183,271,Delayed,Emily,462,213,-249
ORD0022,P022,Steel Cabinet,Dell,2026-06-02,2026-06-08,MO0022,TT0022,Welding,Line B,Medium,312,120,192,Delayed,Sophia,312,136,-176
ORD0023,P023,Steel Cabinet,Dell,2025-12-26,2025-12-31,MO0023,TT0023,Assembly,Line B,High,226,116,110,Delayed,John,94,417,323
ORD0024,P024,Wooden Table,Target,2026-05-26,2026-06-05,MO0024,TT0024,Quality Control,Line D,Medium,100,30,70,Delayed,Michael,398,470,72
