System_ID,System_Name,Plant,Production_Line,Automation_Type,PLC,SCADA,DCS,Robot_Model,Status,Efficiency,Cycle_Time,Energy_Consumption,Downtime_Minutes,Alarm_Count,Operator_ID,Maintenance_Status,Project_ID,Compliance_Status,Created_Date
SYS0001,Pay Automation,Dallas Plant,Line A,Robotic Cell,PLC001,FactoryTalk,ABB 800xA,ABB IRB2600,Idle,92.68,30.3,2284.36,44,13,OP001,Completed,PRJ001,Passed,2024-12-10
SYS0002,Herself Automation,Dallas Plant,Line B,Fully Automated,PLC002,WinCC,Emerson DeltaV,ABB IRB2600,Stopped,80.29,27.68,2118.86,3,5,OP002,In Progress,PRJ002,Pending,2024-11-24
SYS0003,Evidence Automation,Houston Plant,Line C,Fully Automated,PLC003,Ignition,Honeywell Experion,FANUC M-20iD,Running,84.12,20.77,1187.91,135,1,OP003,In Progress,PRJ003,Pending,2025-10-12
SYS0004,Coach Automation,Phoenix Plant,Line A,Semi Automated,PLC004,WinCC,Emerson DeltaV,KUKA KR10,Maintenance,88.86,31.14,591.65,116,9,OP004,Completed,PRJ004,Passed,2025-04-23
SYS0005,Time Automation,Dallas Plant,Line D,Semi Automated,PLC005,Wonderware,Emerson DeltaV,KUKA KR10,Idle,83.88,16.29,1033.96,36,5,OP005,In Progress,PRJ005,Failed,2026-02-02
SYS0006,Bit Automation,Austin Plant,Line B,Semi Automated,PLC006,Wonderware,Honeywell Experion,ABB IRB2600,Maintenance,95.23,33.28,958.1,16,10,OP006,Scheduled,PRJ006,Pending,2026-06-23
SYS0007,Democratic Automation,Dallas Plant,Line B,Robotic Cell,PLC007,FactoryTalk,ABB 800xA,Yaskawa GP25,Stopped,96.23,29.29,785.74,71,7,OP007,In Progress,PRJ007,Failed,2026-03-26
SYS0008,Fact Automation,Phoenix Plant,Line C,Robotic Cell,PLC008,Wonderware,Emerson DeltaV,Yaskawa GP25,Maintenance,80.26,39.93,1519.05,46,1,OP008,Completed,PRJ008,Passed,2026-01-11
SYS0009,Through Automation,Austin Plant,Packaging Line,Semi Automated,PLC009,WinCC,Honeywell Experion,Yaskawa GP25,Stopped,87.7,39.13,2221.56,5,3,OP009,In Progress,PRJ009,Failed,2025-12-01
SYS0010,Mission Automation,Houston Plant,Packaging Line,Semi Automated,PLC010,WinCC,Honeywell Experion,Yaskawa GP25,Idle,85.89,38.61,2251.71,134,5,OP010,In Progress,PRJ010,Passed,2025-03-17
SYS0011,You Automation,Houston Plant,Packaging Line,Robotic Cell,PLC011,Ignition,ABB 800xA,KUKA KR10,Idle,87.95,33.36,1560.71,0,10,OP011,Scheduled,PRJ011,Passed,2025-05-04
SYS0012,Lose Automation,Dallas Plant,Line C,Semi Automated,PLC012,Ignition,ABB 800xA,ABB IRB2600,Running,77.06,24.58,638.43,272,4,OP012,Completed,PRJ012,Failed,2024-10-31
SYS0013,Evening Automation,Chicago Plant,Assembly Line,Fully Automated,PLC013,FactoryTalk,Emerson DeltaV,Yaskawa GP25,Idle,97.29,32.66,1879.74,159,12,OP013,In Progress,PRJ013,Failed,2026-05-30
SYS0014,Interesting Automation,Houston Plant,Line D,Robotic Cell,PLC014,Wonderware,ABB 800xA,ABB IRB2600,Idle,76.54,10.63,1607.84,112,0,OP014,Completed,PRJ014,Failed,2025-05-07
SYS0015,Position Automation,Dallas Plant,Line B,Fully Automated,PLC015,WinCC,Honeywell Experion,FANUC M-20iD,Idle,81.68,24.56,1578.47,292,15,OP015,Completed,PRJ015,Pending,2026-05-06
SYS0016,Suggest Automation,Chicago Plant,Line B,Fully Automated,PLC016,WinCC,Emerson DeltaV,Yaskawa GP25,Maintenance,85.17,24.01,1958.15,50,1,OP016,Scheduled,PRJ016,Failed,2026-06-05
SYS0017,Never Automation,Houston Plant,Line A,Fully Automated,PLC017,Ignition,ABB 800xA,Yaskawa GP25,Idle,85.13,18.36,999.61,38,14,OP017,In Progress,PRJ017,Passed,2026-05-21
SYS0018,Then Automation,Dallas Plant,Packaging Line,Robotic Cell,PLC018,WinCC,ABB 800xA,ABB IRB2600,Idle,84.75,24.44,2229.3,30,5,OP018,Scheduled,PRJ018,Passed,2025-01-15
SYS0019,Movement Automation,Chicago Plant,Line C,Semi Automated,PLC019,FactoryTalk,Honeywell Experion,Yaskawa GP25,Idle,79.56,16.53,616.97,277,1,OP019,In Progress,PRJ019,Pending,2025-02-01
SYS0020,Apply Automation,Dallas Plant,Line A,Robotic Cell,PLC020,Wonderware,Emerson DeltaV,ABB IRB2600,Running,98.06,12.4,871.65,34,7,OP020,Scheduled,PRJ020,Passed,2024-11-14
SYS0021,Difference Automation,Phoenix Plant,Line B,Robotic Cell,PLC021,WinCC,Emerson DeltaV,FANUC M-20iD,Stopped,90.78,26.96,1132.74,133,6,OP021,In Progress,PRJ021,Failed,2024-10-25
SYS0022,Outside Automation,Houston Plant,Line B,Semi Automated,PLC022,Wonderware,ABB 800xA,KUKA KR10,Stopped,82.59,32.56,645.09,234,3,OP022,Completed,PRJ022,Failed,2026-03-28
SYS0023,Industry Automation,Austin Plant,Assembly Line,Semi Automated,PLC023,Ignition,Honeywell Experion,FANUC M-20iD,Idle,83.87,14.73,2167.49,154,0,OP023,In Progress,PRJ023,Failed,2025-04-20
SYS0024,Think Automation,Houston Plant,Packaging Line,Fully Automated,PLC024,Ignition,Honeywell Experion,FANUC M-20iD,Running,92.82,14.66,1063.51,107,10,OP024,Completed,PRJ024,Failed,2025-01-08
SYS0025,Exist Automation,Houston Plant,Assembly Line,Semi Automated,PLC025,FactoryTalk,ABB 800xA,FANUC M-20iD,Stopped,94.9,11.32,1167.11,66,8,OP025,Completed,PRJ025,Failed,2024-10-14
SYS0026,Method Automation,Chicago Plant,Assembly Line,Robotic Cell,PLC026,Wonderware,Emerson DeltaV,FANUC M-20iD,Running,76.81,36.49,2307.86,279,1,OP026,Scheduled,PRJ026,Failed,2025-05-28
SYS0027,Off Automation,Phoenix Plant,Line B,Semi Automated,PLC027,Ignition,ABB 800xA,KUKA KR10,Maintenance,96.58,33.88,2221.41,183,6,OP027,In Progress,PRJ027,Passed,2025-11-08
SYS0028,Those Automation,Dallas Plant,Line C,Robotic Cell,PLC028,Wonderware,Emerson DeltaV,ABB IRB2600,Idle,95.75,39.29,2121.54,211,0,OP028,Completed,PRJ028,Failed,2025-12-31
SYS0029,It Automation,Houston Plant,Line D,Robotic Cell,PLC029,Ignition,Honeywell Experion,ABB IRB2600,Running,84.18,11.16,1441.38,102,14,OP029,Scheduled,PRJ029,Pending,2024-07-23
SYS0030,Ground Automation,Austin Plant,Line B,Fully Automated,PLC030,Ignition,Honeywell Experion,KUKA KR10,Maintenance,95.74,39.01,1058.25,260,12,OP030,In Progress,PRJ030,Failed,2025-02-28
SYS0031,Face Automation,Houston Plant,Line A,Fully Automated,PLC031,FactoryTalk,ABB 800xA,KUKA KR10,Running,77.6,23.04,1957.09,160,13,OP031,In Progress,PRJ031,Failed,2026-05-20
SYS0032,Much Automation,Dallas Plant,Line D,Robotic Cell,PLC032,Ignition,Honeywell Experion,FANUC M-20iD,Stopped,75.04,37.77,1576.9,100,11,OP032,Scheduled,PRJ032,Passed,2025-04-14
SYS0033,Total Automation,Houston Plant,Assembly Line,Semi Automated,PLC033,WinCC,Emerson DeltaV,KUKA KR10,Maintenance,91.01,19.79,1894.42,283,4,OP033,Completed,PRJ033,Pending,2024-08-12
SYS0034,Perform Automation,Chicago Plant,Packaging Line,Robotic Cell,PLC034,Ignition,Emerson DeltaV,KUKA KR10,Stopped,88.15,10.01,1073.83,220,10,OP034,Scheduled,PRJ034,Pending,2025-04-23
SYS0035,Especially Automation,Chicago Plant,Packaging Line,Fully Automated,PLC035,Wonderware,Emerson DeltaV,ABB IRB2600,Running,81.81,29.92,1738.52,47,7,OP035,In Progress,PRJ035,Pending,2026-04-28
SYS0036,Strong Automation,Austin Plant,Line B,Fully Automated,PLC036,WinCC,ABB 800xA,ABB IRB2600,Stopped,89.67,33.05,1410.83,294,6,OP036,In Progress,PRJ036,Failed,2026-01-26
SYS0037,Spend Automation,Chicago Plant,Line D,Semi Automated,PLC037,Ignition,ABB 800xA,FANUC M-20iD,Running,93.68,16.57,2108.22,265,14,OP037,Completed,PRJ037,Failed,2024-07-18
SYS0038,Fine Automation,Austin Plant,Line A,Semi Automated,PLC038,Ignition,Honeywell Experion,KUKA KR10,Stopped,89.7,31.58,1509.56,280,14,OP038,Completed,PRJ038,Failed,2025-09-27
SYS0039,Single Automation,Chicago Plant,Line D,Semi Automated,PLC039,Ignition,Emerson DeltaV,KUKA KR10,Stopped,90.04,18.24,654.97,146,7,OP039,Scheduled,PRJ039,Pending,2026-04-24
SYS0040,Material Automation,Houston Plant,Assembly Line,Fully Automated,PLC040,Ignition,ABB 800xA,ABB IRB2600,Stopped,91.65,31.19,628.46,208,10,OP040,In Progress,PRJ040,Pending,2025-10-13
SYS0041,Bit Automation,Chicago Plant,Line A,Fully Automated,PLC041,Wonderware,Honeywell Experion,FANUC M-20iD,Stopped,86.45,38.28,1097.23,199,13,OP041,In Progress,PRJ041,Failed,2026-04-04
SYS0042,No Automation,Phoenix Plant,Assembly Line,Fully Automated,PLC042,Wonderware,ABB 800xA,KUKA KR10,Stopped,86.66,21.67,1837.75,207,5,OP042,Scheduled,PRJ042,Passed,2025-09-21
SYS0043,Old Automation,Phoenix Plant,Assembly Line,Fully Automated,PLC043,Wonderware,Emerson DeltaV,FANUC M-20iD,Running,90.43,14.07,1423.4,25,8,OP043,Scheduled,PRJ043,Pending,2024-09-09
SYS0044,Point Automation,Austin Plant,Line D,Semi Automated,PLC044,FactoryTalk,Honeywell Experion,KUKA KR10,Stopped,81.05,12.46,538.77,276,1,OP044,Scheduled,PRJ044,Passed,2026-01-19
