Item_ID,Material,Warehouse,Stock,Reorder_Level,Inventory_Value
ITM0001,Rubber Seal,Phoenix,488,111,58560
ITM0002,Sensor,Atlanta,69,62,10626
ITM0003,Transformer,Phoenix,923,170,143988
ITM0004,Steel Rod,Chicago,887,77,204010
ITM0005,Circuit Board,Atlanta,764,143,306364
ITM0006,Sensor,Phoenix,66,152,2376
ITM0007,Rubber Seal,New York,219,142,64167
ITM0008,Copper Wire,Phoenix,415,179,99600
ITM0009,Circuit Board,Dallas,865,80,64875
ITM0010,Bearing,New York,402,136,118590
ITM0011,Plastic Sheet,Phoenix,223,180,47945
ITM0012,Steel Rod,New York,66,59,5280
ITM0013,Aluminum Plate,Phoenix,551,166,47386
ITM0014,Rubber Seal,Phoenix,163,133,79218
ITM0015,Sensor,New York,186,150,60450
ITM0016,Transformer,Phoenix,364,179,157976
ITM0017,Rubber Seal,Atlanta,521,194,84923
ITM0018,Steel Rod,Dallas,397,134,140538
ITM0019,Bearing,Dallas,617,128,257289
ITM0020,Transformer,Phoenix,505,117,174225
ITM0021,Transformer,Atlanta,253,63,77924
ITM0022,Plastic Sheet,Chicago,556,147,47260
ITM0023,Steel Rod,Dallas,606,78,64842
ITM0024,Aluminum Plate,Atlanta,341,157,29667
ITM0025,Motor,Phoenix,440,178,178640
ITM0026,Aluminum Plate,Chicago,913,65,338723
ITM0027,Rubber Seal,Atlanta,232,193,40832
ITM0028,Rubber Seal,Chicago,405,130,202095
ITM0029,Aluminum Plate,Phoenix,954,186,176490
ITM0030,Sensor,Atlanta,712,117,229264
ITM0031,Motor,Phoenix,1000,113,152000
ITM0032,Circuit Board,New York,250,126,101000
ITM0033,Motor,Atlanta,726,175,124872
ITM0034,Sensor,Dallas,593,120,93101
ITM0035,Transformer,Atlanta,712,189,145248
ITM0036,Sensor,Dallas,997,87,157526
ITM0037,Circuit Board,Atlanta,998,70,186626
ITM0038,Circuit Board,Chicago,785,172,93415
ITM0039,Rubber Seal,New York,297,193,108702
ITM0040,Plastic Sheet,Chicago,131,200,17292
ITM0041,Steel Rod,Chicago,705,185,88125
ITM0042,Steel Rod,Atlanta,122,155,21838
ITM0043,Copper Wire,Phoenix,717,85,8604
ITM0044,Plastic Sheet,Chicago,436,171,110744
ITM0045,Circuit Board,Dallas,348,123,118320
ITM0046,Copper Wire,Phoenix,687,196,87936
ITM0047,Steel Rod,Chicago,955,94,212965
ITM0048,Steel Rod,Atlanta,876,151,361788
ITM0049,Plastic Sheet,Dallas,979,124,448382
ITM0050,Steel Rod,Dallas,325,195,103350
ITM0051,Sensor,Phoenix,311,166,105118
ITM0052,Rubber Seal,Phoenix,525,84,233625
ITM0053,Aluminum Plate,Dallas,299,99,126776
ITM0054,Sensor,New York,186,167,63426
ITM0055,Plastic Sheet,New York,34,136,14076
ITM0056,Transformer,Phoenix,710,99,70290
ITM0057,Bearing,New York,866,159,236418
ITM0058,Copper Wire,Chicago,430,74,44720
ITM0059,Aluminum Plate,New York,351,113,4563
ITM0060,Bearing,New York,261,164,103095
ITM0061,Sensor,Phoenix,329,199,125020
ITM0062,Steel Rod,Chicago,287,142,104468
ITM0063,Steel Rod,New York,703,80,174344
ITM0064,Plastic Sheet,New York,435,178,209670
ITM0065,Copper Wire,Phoenix,674,125,133452
